,All,K04F10.4a.1.e1,K04F10.4a.1.e2,K04F10.4a.1.e3,K04F10.4a.1.e4,K04F10.4a.1.e5,K04F10.4a.1.e6,K04F10.4a.1.e7,K04F10.4a.1.e8,K04F10.4a.1.e9,K04F10.4a.1.e10,K04F10.4a.1.e11,K04F10.4a.1.e12,K04F10.4a.1.e13,K04F10.4a.2.e1,K04F10.4b.1.e1,K04F10.4b.1.e14,K04F10.4b.2.e1,K04F10.4c.1.e1,K04F10.4c.1.e13,K04F10.4c.1.e14,K04F10.4c.1.e15,K04F10.4c.1.e16,K04F10.4d.1.e1,K04F10.4d.1.e16,K04F10.4d.1.e17,K04F10.4d.1.e18,K04F10.4d.2.e1,K04F10.4e.1.e1,K04F10.4e.1.e12,K04F10.4f.1.e1,K04F10.4f.1.e12,K04F10.4g.1.e13,K04F10.4h.1.e1,K04F10.4h.1.e13,K04F10.4i.1.e12,K04F10.4j.1.e13,All_rpm,K04F10.4a.1.e1_rpm,K04F10.4a.1.e2_rpm,K04F10.4a.1.e3_rpm,K04F10.4a.1.e4_rpm,K04F10.4a.1.e5_rpm,K04F10.4a.1.e6_rpm,K04F10.4a.1.e7_rpm,K04F10.4a.1.e8_rpm,K04F10.4a.1.e9_rpm,K04F10.4a.1.e10_rpm,K04F10.4a.1.e11_rpm,K04F10.4a.1.e12_rpm,K04F10.4a.1.e13_rpm,K04F10.4a.2.e1_rpm,K04F10.4b.1.e1_rpm,K04F10.4b.1.e14_rpm,K04F10.4b.2.e1_rpm,K04F10.4c.1.e1_rpm,K04F10.4c.1.e13_rpm,K04F10.4c.1.e14_rpm,K04F10.4c.1.e15_rpm,K04F10.4c.1.e16_rpm,K04F10.4d.1.e1_rpm,K04F10.4d.1.e16_rpm,K04F10.4d.1.e17_rpm,K04F10.4d.1.e18_rpm,K04F10.4d.2.e1_rpm,K04F10.4e.1.e1_rpm,K04F10.4e.1.e12_rpm,K04F10.4f.1.e1_rpm,K04F10.4f.1.e12_rpm,K04F10.4g.1.e13_rpm,K04F10.4h.1.e1_rpm,K04F10.4h.1.e13_rpm,K04F10.4i.1.e12_rpm,K04F10.4j.1.e13_rpm
All,115367547,0,0,7,11,12,21,1,1,3,0,34,0,735,0,0,121,0,0,1,7,14,29,0,6,66,7263,4,0,0,0,1903,58,0,116,0,16,1e+06,0,0,0.0606756421717106,0.0953474376984023,0.104015386580075,0.182026926515132,0.00866794888167294,0.00866794888167294,0.0260038466450188,0,0.29471026197688,0,6.37094242802961,0,0,1.04882181468243,0,0,0.00866794888167294,0.0606756421717106,0.121351284343421,0.251370517568515,0,0.0520076932900376,0.572084626190414,62.9553127275905,0.0346717955266918,0,0,0,16.4951067218236,0.50274103513703,0,1.00548207027406,0,0.138687182106767
BWM_head_row_1,2785833,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,1,0,0,1,82,0,0,0,0,9,1,0,3,0,1,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0.717918123591759,0,0,2.15375437077528,0,0,0,0,0.358959061795879,0.358959061795879,0,0,0.358959061795879,29.4346430672621,0,0,0,0,3.23063155616291,0.358959061795879,0,1.07687718538764,0,0.358959061795879
unannotated,36382336,0,0,1,5,5,5,0,1,0,0,9,0,195,0,0,44,0,0,0,5,2,7,0,2,17,1817,2,0,0,0,510,21,0,44,0,8,1e+06,0,0,0.0274858656684387,0.137429328342193,0.137429328342193,0.137429328342193,0,0.0274858656684387,0,0,0.247372791015948,0,5.35974380534554,0,0,1.2093780894113,0,0,0,0.137429328342193,0.0549717313368773,0.192401059679071,0,0.0549717313368773,0.467259716363457,49.9418179195531,0.0549717313368773,0,0,0,14.0177914909037,0.577203179037212,0,1.2093780894113,0,0.219886925347509
BWM_anterior,5993191,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,1,66,0,0,0,0,18,2,0,2,0,0,1e+06,0,0,0.16685602044053,0,0,0.16685602044053,0,0,0,0,0,0,0.50056806132159,0,0,0.33371204088106,0,0,0,0.16685602044053,0.16685602044053,0,0,0,0.16685602044053,11.012497349075,0,0,0,0,3.00340836792954,0.33371204088106,0,0.33371204088106,0,0
AFD,196650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.255530129672,0,0,0,0,10.1703534197813,0,0,0,0,0
I2_grandparent,179003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1729971006073,0,0,0,0,16.7594956509109,0,0,0,0,0
hyp4_hyp5_hyp6,1307478,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,3,252,0,0,0,0,8,1,0,3,0,1,1e+06,0,0,0,1.52966244938729,0.764831224693647,0,0,0,0,0,0,0,2.29449367408094,0,0,1.52966244938729,0,0,0,0,0,1.52966244938729,0,0,2.29449367408094,192.737468622799,0,0,0,0,6.11864979754917,0.764831224693647,0,2.29449367408094,0,0.764831224693647
OLQ_parent,281119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55721242605445,0,0,0,0,0,0,0,0,0,7.11442485210889,0,0,0,0,10.6716372781633,0,0,0,0,0
pm3_pm4_pm5,2079435,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,73,0,0,0,0,276,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0.961799719635382,0,0,0.961799719635382,0,0,0,0,0,0,0,0,0.480899859817691,35.1056897666914,0,0,0,0,132.728361309683,0.480899859817691,0,0,0,0
Ciliated_amphid_neuron,1235598,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,0,1,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,3.23729886257504,0,0,0,0,0,0,0,0,0,0,0,0,20.233117891094,0,0,0,0,2.42797414693128,0,0,0.809324715643761,0,0
BWM_head_row_2,2023310,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,6,0,0,0,0,0,1e+06,0,0,0.494239637030411,0,0,0,0,0,0,0,0,0,3.45967745921287,0,0,0.494239637030411,0,0,0,0,0,0,0,0,0,27.1831800366726,0,0,0,0,2.96543782218246,0,0,0,0,0
AIN_parent,36816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1621034332899,0,0,0,0,0,0,0,0,0,0
Neuroblast_AWC_SAAVx,168141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94738939342576,0,0,0,0,0
Parent_of_AMsh_URB,184196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1e+06,0,0,0,0,0,5.42899954396404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2869986318921,0,0,0,0,5.42899954396404,5.42899954396404,0,0,0,0
Parents_of_U_F_B_DVA,97738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9257402443267,0,0,0,0,10.2314350610817,0,0,0,0,0
Seam_cell,5270315,0,0,1,1,3,0,0,0,0,0,2,0,44,0,0,6,0,0,0,0,1,3,0,0,5,789,0,0,0,0,25,5,0,10,0,1,1e+06,0,0,0.189741979369355,0.189741979369355,0.569225938108064,0,0,0,0,0,0.379483958738709,0,8.3486470922516,0,0,1.13845187621613,0,0,0,0,0.189741979369355,0.569225938108064,0,0,0.948709896846773,149.706421722421,0,0,0,0,4.74354948423387,0.948709896846773,0,1.89741979369355,0,0.189741979369355
RIM_parent,122600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15660685154976,0,0,0,0,0
Intestine,2904866,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,146,1,0,0,0,5,0,0,3,0,0,1e+06,0,0,0,0,0,0.34424995851788,0,0,0,0,0,0,0.34424995851788,0,0,0.34424995851788,0,0,0,0,0,0,0,0,0.34424995851788,50.2604939436105,0.34424995851788,0,0,0,1.7212497925894,0,0,1.03274987555364,0,0
Neuroblast_PVC_LUA,91475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e+06,0,0,10.9319486198415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9319486198415,0,0,0,0,0
BWM_posterior,6338876,0,0,0,0,1,0,0,0,1,0,4,0,16,0,0,6,0,0,0,0,0,2,0,0,3,230,0,0,0,0,25,4,0,2,0,1,1e+06,0,0,0,0,0.157756674842669,0,0,0,0.157756674842669,0,0.631026699370677,0,2.52410679748271,0,0,0.946540049056016,0,0,0,0,0,0.315513349685339,0,0,0.473270024528008,36.2840352138139,0,0,0,0,3.94391687106673,0.631026699370677,0,0.315513349685339,0,0.157756674842669
Ciliated_non_amphid_neuron,1434335,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,0,1e+06,0,0,0,0,0,1.39437439649733,0,0,0,0,0,0,0.697187198248666,0,0,0,0,0,0,0,0,0,0,0,0,11.1549951719787,0,0,0,0,5.57749758598933,0,0,0,0,0
hyp7_AB_lineage,2737849,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,2,0,0,6,601,1,0,0,0,10,4,0,9,0,1,1e+06,0,0,0.365250238417093,0,0,0.730500476834186,0,0,0,0,0,0,2.19150143050256,0,0,1.09575071525128,0,0,0,0,0,0.730500476834186,0,0,2.19150143050256,219.515393288673,0.365250238417093,0,0,0,3.65250238417093,1.46100095366837,0,3.28725214575384,0,0.365250238417093
hyp7_C_lineage,5130113,0,0,0,1,0,2,1,0,0,0,0,0,14,0,0,4,0,0,0,0,1,4,0,1,10,1034,0,0,0,0,10,4,0,17,0,0,1e+06,0,0,0,0.194927480154921,0,0.389854960309841,0.194927480154921,0,0,0,0,0,2.72898472216889,0,0,0.779709920619682,0,0,0,0,0.194927480154921,0.779709920619682,0,0.194927480154921,1.94927480154921,201.555014480188,0,0,0,0,1.94927480154921,0.779709920619682,0,3.31376716263365,0,0
P_cell,1907103,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,1,0,0,0,0,2,1,0,1,5,452,0,0,0,0,5,1,0,3,0,0,1e+06,0,0,0,0,0.524355527729756,0.524355527729756,0,0,0,0,1.04871105545951,0,1.57306658318927,0,0,0.524355527729756,0,0,0,0,1.04871105545951,0.524355527729756,0,0.524355527729756,2.62177763864878,237.008698533849,0,0,0,0,2.62177763864878,0.524355527729756,0,1.57306658318927,0,0
Neuroblast_AIZ_FLP,173827,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,5.75284622066768,0,5.75284622066768,0,0,0,0,0,0,0,0,0,0,0,0,23.0113848826707,0,0,0,0,11.5056924413354,0,0,0,0,0
RID_parent,80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4982814862956,0,0,0,0,0,0,0,0,0,0
DVC_parent,69192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4525378656492,0,0,0,0,0,14.4525378656492,0,0,0,0
GLR,513903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,0,0,0,1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94589251278938,0,0,0,0,0,0,0,0,0,23.3507101534725,0,0,0,0,3.89178502557876,1.94589251278938,0,0,0,0
